index,actor,detail
1,Michael Palin,It's...
2,John Cleese,Monty Python's Flying Circus.
3,John Cleese,Hello again* and welcome to the show. Tonight we continue to look at some famous deaths. Tonight we start with the wonderful death of Genghis Khan* conqueror of India. Take it away Genghis.
4,John Cleese,Bad luck Genghis. Nice to have you on the show. And now here are the scores.
5,John Cleese,Thank you* Eddie. And now time for this week's request death.
6,John Cleese,For Mr and Mrs Violet Stebbings of 23 Wolverston Road* Hull* the death of Mr Bruce Foster of Guildford.
7,John Cleese,Oh blimey* how time flies. Sadly we are reaching the end of yet another programme and so it is finale time. We are proud to be bringing to you one of the evergreen bucket kickers. Yes* the wonderful death of the famous English Admiral Nelson.
8,Michael Palin,Il cucchiaio.
9,Michael Palin,Grazie signor ... grazie di tutta la sua gentilezza.
10,John Cleese,Mariolini.
11,John Cleese,Napoli* signor.
12,John Cleese,Si* si signor!
13,John Cleese,Ah* capisco* mile grazie signor...
14,Michael Palin,My friend say 'Why must he say...'
15,Michael Palin,My friend he say* 'Why must I say I am Italian from Napoli when he lives in Milan?'
16,Michael Palin,He say 'Milan is better than Napoli'.
17,Michael Palin,Yes* you know* we find that nine out of ten British housewives can't tell the difference between Whizzo butter and a dead crab.
18,John Cleese,Here. Here! You're on television* aren't you?
19,Michael Palin,Yes* yes.
20,John Cleese,He does the thing with one of those silly women who can't tell Whizzo butter from a dead crab.
21,Michael Palin,Good evening and welcome to another edition of 'It's the Arts'. And we kick off this evening with the cinema.
22,John Cleese,Good evening. One of the most prolific film directors of this age* or indeed of any age* is Sir Edward Ross* back in his native country for the first time for five years to open a season of his works at the National Film Theatre* and we are very fortunate to have him with us in this studio this evening.
23,John Cleese,Edward... you don't mind if I call you Edward?
24,John Cleese,Only it does worry some people - I don't know why...but they are a little sensitive so I take the precaution of asking on these occasions.
25,John Cleese,So Edward's all right. Splendid. Splendid. I'm sorry to have brought it up* only eh...
26,John Cleese,Well thank you very much for being so helpful...only it's more than my job's worth to...er...
27,John Cleese,Makes it rather difficult to establish a rapport ... to put the other person at his ease...
28,John Cleese,Yes* silly little point but it does seem to matter. Still - less said the better. Uh...Ted...when you first started in...you don't mind if I call you Ted?
29,John Cleese,Well it's shorter* isn't it.
30,John Cleese,Yes* and much less formal!
31,John Cleese,Splendid* splendid. Incidentally* do call me Tom* I don't want you playing around with any of this 'Thomas' nonsense! Ha ha ha ha! Now where were we? Ah yes. Eddie-baby* when you first started in the...
32,John Cleese,I'm sorry?
33,John Cleese,Did I call you 'Eddie-baby'?
34,John Cleese,I don't think I did call you Eddie-baby.
35,John Cleese,Did I call him Eddie-baby?
36,John Cleese,I didn't really call you Eddie-baby* did I* sweetie?
37,John Cleese,Can I call you sugar plum?
38,John Cleese,Pussy cat?
39,John Cleese,Angel-drawers?
40,John Cleese,Can I call you 'Frank'?
41,John Cleese,It's a nice name. Robin Day's got a hedgehog called Frank.
42,John Cleese,Frannie* little Frannie* Frannie Knickers...
43,John Cleese,Tell us about your latest film* Sir Edward.
44,John Cleese,Tell us about your latest film* if you'd be so very kind* Sir Edward.
45,John Cleese,Promise.
46,John Cleese,Please* Sir Edward.
47,John Cleese,Yes* Sir Edward.
48,John Cleese,Oh*
49,John Cleese,up.
50,Michael Palin,Sir Edward...Ross. Now* later in the programme we will be bringing you a unique event in the world of modern art. Pablo Picasso will be doing a special painting for us* on this programme* live* on a bicycle. But right now it's time to look at a man whose meteoric rise to fame...
51,John Cleese,Are you having any trouble from him?
